股票代碼,公司名稱,交易市場,發行股份總額,董監不足股數,營業收入,營業利益,業外收支,稅後純益,當期股本,每股純益,每股淨值,淨值佔總資產,流動比率
,,,（股）,（股）,"（TWD K）
上市、上櫃為2015年一至九月
興櫃公司則為2015年一至六月",,,,,（TWD）,（TWD）,（％）,
5203,訊連,上市,"96,795,020 ","140,691 ","1,405,685 ","393,734 ","92,603 ","399,000 ","1,011,134 ",3.98 ,46.50 ,74,3.62
5205,漢康科技,上櫃,"17,005,200 ","2,413,858 ","1,914 ","(12,808)","(3,885)","(3,885)","170,052 ",(0.23),2.85 ,94,12.77
5259,清惠,上市,"72,033,590 ","127,287 ","673,661 ","(223,062)","(45,649)","(265,824)","720,336 ",(3.69),9.51 ,52,0.89
5269,祥碩科技,上市,"57,086,880 ","456,695 ","1,116,802 ","123,072 ","30,548 ","134,396 ","570,909 ",2.38 ,22.04 ,83,5.26
5304,鼎創達,上櫃,"185,962,436 ","10,220,786 ","623,416 ","(114,649)","(96,196)","(106,795)","1,859,624 ",(0.58),2.81 ,12,0.64
5309,系統電子,上櫃,"202,493,333 ","1,500,000 ","1,105,962 ","(312,786)","832,148 ","744,953 ","1,923,789 ",3.88 ,10.81 ,55,2.2
5398,力瑋,上櫃,"41,800,541 ","3,521,230 ","152,361 ","(4,701)","(49,058)","(89,908)","417,505 ",(2.15),7.56 ,83,4.96
5455,訊利電,上櫃,"35,501,813 ","4,285,668 ","13,188 ","(48,443)","(48,039)","(48,039)","355,018 ",(1.49),4.61 ,90,1.26
5481,華韡電子,上櫃,"97,281,891 ","242,655 ","74,991 ","(70,536)","(101,295)","(102,381)","972,819 ",(1.05),11.38 ,97,26.07
5487,通泰,上櫃,"22,134,516 ","434,296 ","230,029 ","22,968 ","31,326 ","25,916 ","221,345 ",1.17 ,21.67 ,86,8.5
5490,同亨,上櫃,"94,396,601 ","2,422,127 ","2,310,652 ","458,588 ","484,687 ","377,697 ","943,966 ",4.00 ,18.24 ,75,4.68
6101,弘捷,上櫃,"69,826,850 ","52,414 ","374,050 ","(143,876)","(140,395)","(139,995)","598,268 ",(2.34),8.63 ,54,1.02
6114,久威國際,上櫃,"36,160,793 ","130,583 ","1,328,303 ","218,635 ","238,812 ","190,885 ","361,608 ",5.28 ,19.99 ,48,1.66
6131,悠克國際,上市,"101,926,533 ","1,031,892 ","181,700 ","(111,496)","19,874 ","(91,647)","1,016,948 ",(0.93),10.64 ,83,1.56
6147,頎邦科技,上櫃,"649,261,998 ","1,220,411 ","12,922,097 ","2,076,276 ","2,208,296 ","1,664,150 ","6,491,870 ",2.57 ,35.70 ,58,1.41
6165,捷泰精密,上市,"49,682,403 ","538,166 ","113,985 ","(57,912)","6,389 ","(20,640)","496,824 ",(0.42),9.66 ,92,8.07
6169,昱泉國際,上櫃,"35,473,750 ","2,423,677 ","135,203 ","(90,848)","(97,781)","(99,005)","283,790 ",(3.50),11.26 ,79,4.39
6195,詩肯,上櫃,"42,982,940 ","123,882 ","1,165,910 ","166,224 ","168,303 ","137,344 ","429,829 ",3.16 ,17.33 ,50,1.99
6222,上揚科技,上櫃,"57,545,883 ","459,527 ","62,443 ","(63,884)","(65,935)","(62,162)","575,459 ",(1.09),5.59 ,60,1.09
6225,天瀚,上市,"93,922,655 ","751,381 ","76,280 ","(37,374)","8,141 ","(48,905)","907,548 ",(0.56),0.14 ,12,1.05
6227,茂綸,上櫃,"76,111,786 ","608,894 ","3,673,182 ","130,137 ","123,997 ","94,294 ","761,118 ",1.24 ,17.74 ,39,1.65
6243,迅杰,上市,"75,297,693 ","1,588,726 ","342,748 ","(119,702)","18,141 ","(101,561)","752,977 ",(1.35),11.53 ,90,10.12
6247,淇譽電,上櫃,"60,321,000 ","452,568 ","1,035,835 ","45,474 ","92,257 ","89,585 ","603,210 ",1.49 ,15.40 ,60,1.51
6286,立錡,上市,"148,517,306 ","419,248 ","9,611,322 ","1,342,914 ","78,505 ","1,176,438 ","1,485,173 ",7.92 ,49.11 ,72,2.44
6403,群登科技,興櫃,"27,263,035 ","1,609,896 ","128,572 ","(75,066)","(3,245)","(69,752)","220,830 ",(3.26),14.09 ,94,14.62
6428,台灣淘米,興櫃,"17,682,456 ","212,189 ","55,847 ","(8,097)","1,337 ","(5,629)","176,825 ",(0.32),13.33 ,76,3.84
6471,聯生藥,興櫃,"125,591,199 ","800,000 ",0 ,"(112,776)","10,324 ","(102,452)","1,255,912 ",(0.83),13.23 ,96,19.9
6473,玩家,興櫃,"33,000,000 ","650,725 ","136,893 ","(77,588)","(29,977)","(108,093)","117,000 ",(4.62),12.32 ,55,1.06
6489,德晶,興櫃,"28,470,000 ","426,990 ","214,632 ","(2,348)","(4,294)","(6,888)","284,700 ",(0.24),21.29 ,51,1.21
6496,科懋生技,上櫃,"46,667,000 ","43,099 ","612,795 ","94,564 ","1,376 ","70,212 ","425,000 ",1.65 ,16.83 ,68,2.76
6507,新力美,興櫃,"99,877,798 ","151,022 ","744,793 ","(205,512)","(29,420)","(234,845)","998,778 ",(2.35),9.32 ,31,0.63
8059,凱碩科技,上櫃,"91,118,000 ","616,944 ","1,497,086 ","74,481 ","100,086 ","96,146 ","911,180 ",1.07 ,11.75 ,70,2.22
8079,誠遠科技,上櫃,"80,200,031 ","4,755,450 ","370,997 ","88,978 ","91,400 ","76,403 ","802,001 ",0.95 ,14.73 ,92,10.42
8082,漢承泰,上櫃,"106,608,873 ","700,000 ",238 ,"(17,317)","(32,816)","(28,986)","1,066,088 ",(0.29),0.83 ,61,23.53
8086,宏捷科技,上櫃,"140,343,873 ","2,151,281 ","3,311,811 ","928,257 ","954,591 ","815,695 ","1,403,191 ",5.91 ,20.77 ,79,3.23
8197,研能科技,興櫃,"61,747,667 ","484,872 ","375,948 ",(91),"(7,079)","(6,521)","617,477 ",(0.11),12.05 ,78,3.99
8401,白紗科技,上櫃,"60,111,680 ","106,774 ","967,078 ","32,334 ","34,845 ","20,520 ","600,799 ",0.35 ,14.42 ,57,1.89
8403,盛弘醫藥,上櫃,"74,464,816 ","595,718 ","1,554,538 ","119,897 ","261,167 ","205,214 ","646,839 ",3.36 ,21.99 ,50,1.47
8925,偉盟,上櫃,"365,243,337 ","9,780,703 ","966,360 ","(242,325)","(2,615,213)","(2,649,126)","3,652,433 ",(7.25),2.75 ,37,1.43
8996,高力,上市,"89,384,080 ","560,746 ","1,581,831 ","85,323 ","2,101 ","78,295 ","893,841 ",0.88 ,19.69 ,55,1.7
9919,康那香,上市,"197,126,750 ","178,437 ","3,279,999 ","(10,924)","(7,632)","25,187 ","1,971,268 ",0.13 ,15.53 ,43,1.65
