,,  01  ,  02  ,  03  ,  04  ,  05  ,  06  ,  07  ,  08  ,  09  ,  10  ,  11  ,  12  ,  13  ,  14  ,  15  ,  16  ,  17  ,  18  ,  19  ,  20  ,  21  ,  22  ,  23  ,  24  ,  25  ,  26  ,  27  ,  28  ,  29  ,  30  ,  31  ,  32  ,  33  ,  34  ,  35  ,  36  ,  37  ,  38  ,  39  ,40,41,42,43,44,45,46,47,48,49,50,51,52,01-52
,,農產 ,畜產,林產,漁產,礦產,加工食品,飲料,菸,紡織品,成衣及服飾品,皮革、毛皮及其製品,木材及其製品,紙漿、紙及紙製品,印刷及資料儲存媒體複製,石油及煤製品,化學材料,化學製品,藥品,橡膠製品,塑膠製品,非金屬礦物製品,鋼鐵,其他金屬,金屬製品,電子零組件,電腦、電子及光學產品,電力設備,機械設備,汽車及其零件,其他運輸工具,家具,其他製品及機械修配,電力供應,燃氣供應,用水供應,污染整治,營造工程,批發及零售,運輸倉儲,住宿及餐飲,傳播服務,電信服務,資訊服務,金融及保險,不動產及住宅服務,專業、科學及技術服務,支援服務,公共行政；強制性社會安全,教育服務,醫療保健及社會工作服務,藝術、娛樂及休閒服務,其他服務,合計
  10  ,成衣及服飾品,.000159 ,.000145 ,.001255 ,.000264 ,.000170 ,.000173 ,.000151 ,.000057 ,.000381 ,1.068271 ,.000623 ,.000280 ,.000159 ,.000162 ,.000162 ,.000145 ,.000155 ,.000353 ,.000353 ,.000437 ,.000242 ,.000163 ,.000143 ,.000267 ,.000307 ,.000234 ,.000152 ,.000203 ,.000145 ,.000226 ,.001357 ,.000790 ,.000232 ,.000199 ,.000121 ,.000190 ,.000676 ,.000137 ,.000253 ,.002666 ,.000436 ,.000102 ,.000109 ,.000085 ,.000098 ,.000910 ,.000089 ,.000540 ,.000305 ,.000165 ,.000277 ,.000148 ,1.085821 
  11  ,皮革、毛皮及其製品,.000054 ,.000139 ,.000044 ,.000303 ,.000183 ,.000208 ,.000205 ,.000032 ,.000554 ,.001083 ,1.218081 ,.000274 ,.000187 ,.000162 ,.000181 ,.000195 ,.000180 ,.000132 ,.000169 ,.001133 ,.000175 ,.000211 ,.000195 ,.000738 ,.000210 ,.000267 ,.000258 ,.000959 ,.007569 ,.000567 ,.021876 ,.004422 ,.000255 ,.000213 ,.000280 ,.000269 ,.000282 ,.000078 ,.000380 ,.000119 ,.000674 ,.000065 ,.000078 ,.000046 ,.000039 ,.000246 ,.000172 ,.000261 ,.000140 ,.000149 ,.000203 ,.000479 ,1.265377 
  12  ,木材及其製品,.004238 ,.004857 ,.000749 ,.008331 ,.010569 ,.004520 ,.005042 ,.002201 ,.005030 ,.003840 ,.008981 ,1.516750 ,.052172 ,.013575 ,.009216 ,.006547 ,.005605 ,.004115 ,.004138 ,.005722 ,.007962 ,.005371 ,.004106 ,.006474 ,.003301 ,.003077 ,.004902 ,.005064 ,.005411 ,.011622 ,.135553 ,.012752 ,.007733 ,.010271 ,.002531 ,.002839 ,.038435 ,.002913 ,.004587 ,.003759 ,.007517 ,.002173 ,.001614 ,.000921 ,.002889 ,.005101 ,.003069 ,.001560 ,.001905 ,.001927 ,.002748 ,.002285 ,1.988569 
  13  ,紙漿、紙及紙製品,.005532 ,.024143 ,.002030 ,.012643 ,.005823 ,.037341 ,.067452 ,.049740 ,.020947 ,.022045 ,.034439 ,.029837 ,1.585055 ,.357958 ,.006200 ,.018730 ,.029231 ,.060164 ,.017987 ,.023849 ,.033247 ,.009588 ,.016923 ,.016146 ,.016045 ,.019739 ,.019693 ,.014599 ,.014754 ,.016524 ,.033295 ,.023938 ,.005888 ,.007226 ,.005437 ,.008617 ,.016529 ,.020129 ,.008644 ,.036572 ,.159213 ,.008039 ,.019855 ,.010473 ,.004005 ,.035305 ,.032346 ,.009105 ,.007435 ,.013508 ,.017774 ,.012623 ,3.084361 
  14  ,印刷及資料儲存媒體複製,.001567 ,.004826 ,.000954 ,.005405 ,.002038 ,.005011 ,.007415 ,.004152 ,.003936 ,.006013 ,.006969 ,.005074 ,.008174 ,1.020766 ,.002215 ,.003040 ,.005574 ,.005478 ,.003231 ,.004545 ,.003965 ,.003336 ,.005487 ,.004316 ,.003735 ,.004198 ,.004838 ,.004320 ,.003856 ,.004439 ,.005105 ,.005076 ,.002679 ,.002785 ,.003095 ,.002820 ,.004536 ,.007242 ,.004074 ,.003450 ,.076375 ,.007103 ,.005135 ,.014279 ,.003070 ,.034348 ,.012314 ,.010685 ,.007128 ,.005424 ,.010085 ,.009305 ,1.384983 
  15  ,石油及煤製品,.088180 ,.082794 ,.053447 ,.377476 ,.251317 ,.104026 ,.116754 ,.037799 ,.311427 ,.175804 ,.196466 ,.120836 ,.192491 ,.139831 ,1.353289 ,.672028 ,.366892 ,.114002 ,.276304 ,.388698 ,.228282 ,.271519 ,.210543 ,.169083 ,.155545 ,.131527 ,.154998 ,.157189 ,.131595 ,.132100 ,.174485 ,.148026 ,.294253 ,.615332 ,.074627 ,.104761 ,.155114 ,.058783 ,.397935 ,.078317 ,.064291 ,.032084 ,.033629 ,.017572 ,.020469 ,.072312 ,.076454 ,.033085 ,.027450 ,.054838 ,.039198 ,.062552 ,9.797806 
  16  ,化學材料,.207539 ,.109303 ,.024912 ,.098578 ,.077315 ,.149972 ,.174752 ,.073844 ,.954316 ,.449122 ,.549992 ,.177542 ,.338964 ,.276359 ,.089074 ,2.682722 ,1.249111 ,.274813 ,.837927 ,1.389397 ,.238441 ,.141096 ,.396264 ,.190493 ,.416574 ,.328978 ,.291563 ,.163631 ,.219788 ,.204304 ,.284048 ,.289101 ,.068614 ,.088104 ,.114656 ,.151335 ,.159348 ,.039342 ,.062966 ,.093992 ,.096461 ,.031097 ,.045079 ,.016072 ,.018311 ,.118370 ,.078421 ,.031313 ,.037943 ,.084787 ,.041914 ,.093296 ,14.821257 
  17  ,化學製品,.031712 ,.019061 ,.008237 ,.025061 ,.037089 ,.025225 ,.028780 ,.009079 ,.092195 ,.048832 ,.100779 ,.053548 ,.079010 ,.128295 ,.047759 ,.065478 ,1.277527 ,.047321 ,.091593 ,.106035 ,.052766 ,.040179 ,.043522 ,.049292 ,.064913 ,.046693 ,.040268 ,.031781 ,.031362 ,.038032 ,.048504 ,.038439 ,.029424 ,.042655 ,.012410 ,.060403 ,.052070 ,.009582 ,.023049 ,.025623 ,.040658 ,.009494 ,.009885 ,.006072 ,.005928 ,.032866 ,.046188 ,.010008 ,.008226 ,.018029 ,.013017 ,.052678 ,3.356631 
  18  ,藥品,.003001 ,.014198 ,.000268 ,.003203 ,.000116 ,.008060 ,.002541 ,.000114 ,.000405 ,.000280 ,.001864 ,.000184 ,.000164 ,.000138 ,.000192 ,.000152 ,.000214 ,1.355283 ,.000178 ,.000179 ,.000125 ,.000124 ,.000136 ,.000119 ,.000109 ,.000253 ,.000136 ,.000139 ,.000137 ,.000156 ,.000204 ,.000216 ,.000122 ,.000159 ,.001444 ,.000154 ,.000183 ,.000154 ,.000145 ,.001799 ,.000221 ,.000146 ,.000117 ,.000129 ,.000118 ,.002211 ,.000107 ,.001051 ,.001075 ,.117772 ,.000362 ,.000169 ,1.520226 
  19  ,橡膠製品,.002128 ,.004912 ,.000853 ,.005026 ,.012172 ,.003326 ,.002809 ,.000662 ,.007514 ,.005931 ,.004656 ,.002592 ,.005145 ,.003174 ,.010771 ,.006984 ,.004858 ,.002582 ,1.073117 ,.013586 ,.005505 ,.005635 ,.003742 ,.005447 ,.005864 ,.005783 ,.007701 ,.024715 ,.024828 ,.034448 ,.007876 ,.015383 ,.009017 ,.011945 ,.002320 ,.003585 ,.005728 ,.001302 ,.010347 ,.002022 ,.001795 ,.001249 ,.001134 ,.000613 ,.000644 ,.001970 ,.003113 ,.001325 ,.001108 ,.001902 ,.001484 ,.014229 ,1.396559 
  20  ,塑膠製品,.013689 ,.024380 ,.003340 ,.014941 ,.012949 ,.036916 ,.064061 ,.004884 ,.021397 ,.022561 ,.085992 ,.036925 ,.048678 ,.050510 ,.013127 ,.014806 ,.037626 ,.034413 ,.019715 ,1.149373 ,.015721 ,.013424 ,.014958 ,.020695 ,.042897 ,.067470 ,.051450 ,.024416 ,.053514 ,.032267 ,.074061 ,.050450 ,.011181 ,.014753 ,.017344 ,.036397 ,.033793 ,.017228 ,.009955 ,.030471 ,.015095 ,.006179 ,.007585 ,.002674 ,.003443 ,.016091 ,.010024 ,.007433 ,.005799 ,.010113 ,.009090 ,.012302 ,2.448558 
  21  ,非金屬礦物製品,.003297 ,.006897 ,.003224 ,.008312 ,.016828 ,.009483 ,.024162 ,.001931 ,.017699 ,.010043 ,.009358 ,.006236 ,.008002 ,.007144 ,.015756 ,.015268 ,.017770 ,.049729 ,.009343 ,.011579 ,1.220292 ,.033509 ,.014932 ,.018242 ,.106459 ,.054365 ,.020973 ,.021494 ,.024899 ,.016176 ,.023902 ,.017193 ,.013787 ,.017110 ,.006539 ,.016262 ,.163179 ,.004019 ,.008890 ,.008813 ,.008273 ,.007828 ,.008079 ,.001970 ,.011540 ,.013970 ,.004848 ,.004421 ,.006233 ,.011060 ,.004940 ,.005984 ,2.152239 
  22  ,鋼鐵,.022303 ,.031569 ,.014274 ,.068209 ,.111504 ,.035482 ,.102349 ,.009473 ,.053842 ,.041844 ,.052596 ,.044183 ,.051027 ,.049263 ,.114149 ,.084316 ,.071153 ,.033543 ,.114056 ,.080276 ,.112966 ,2.616944 ,.159060 ,.847689 ,.070490 ,.089707 ,.283593 ,.786796 ,.378033 ,.396722 ,.577582 ,.325616 ,.095037 ,.122611 ,.048949 ,.088012 ,.485468 ,.017920 ,.070100 ,.027924 ,.031786 ,.028204 ,.018898 ,.009303 ,.035347 ,.033924 ,.032843 ,.033705 ,.021788 ,.030401 ,.028012 ,.056446 ,9.147284 
  23  ,其他金屬,.013403 ,.018216 ,.007162 ,.029263 ,.038055 ,.023972 ,.071548 ,.011753 ,.042105 ,.027597 ,.037972 ,.027640 ,.037468 ,.086557 ,.038745 ,.085058 ,.103962 ,.022998 ,.063769 ,.067137 ,.040385 ,.248203 ,2.438214 ,.324236 ,.123844 ,.106114 ,.659896 ,.252309 ,.210832 ,.243406 ,.159981 ,.170430 ,.035381 ,.041360 ,.021055 ,.053022 ,.131748 ,.008823 ,.028990 ,.015314 ,.024162 ,.019068 ,.018740 ,.005622 ,.011442 ,.032569 ,.021690 ,.016118 ,.014274 ,.017854 ,.015392 ,.032029 ,6.396881 
  24  ,金屬製品,.009578 ,.019634 ,.007678 ,.018993 ,.034633 ,.021435 ,.112586 ,.003491 ,.019485 ,.016454 ,.032039 ,.028753 ,.018885 ,.023035 ,.033393 ,.026250 ,.036774 ,.016750 ,.036677 ,.037895 ,.029421 ,.053764 ,.076905 ,1.166338 ,.027898 ,.043748 ,.071995 ,.134781 ,.068090 ,.074514 ,.109380 ,.085084 ,.028062 ,.036387 ,.014655 ,.026033 ,.126462 ,.005913 ,.019676 ,.016073 ,.012134 ,.008535 ,.007629 ,.003199 ,.009779 ,.014936 ,.010821 ,.028021 ,.008323 ,.012137 ,.010131 ,.017195 ,2.912441 
  25  ,電子零組件,.003631 ,.009149 ,.002090 ,.010154 ,.011391 ,.010869 ,.013278 ,.006692 ,.009366 ,.010315 ,.010414 ,.008692 ,.020574 ,.017287 ,.012797 ,.011710 ,.012737 ,.019269 ,.010269 ,.011144 ,.012469 ,.021864 ,.026807 ,.014393 ,1.709189 ,.787167 ,.103203 ,.076641 ,.025796 ,.041856 ,.014568 ,.060797 ,.011968 ,.015138 ,.011123 ,.153427 ,.027452 ,.009300 ,.012318 ,.008119 ,.040778 ,.024579 ,.094172 ,.008390 ,.008876 ,.145210 ,.023492 ,.012278 ,.017448 ,.028961 ,.019564 ,.010905 ,3.800077 
  26  ,電腦、電子及光學產品,.001328 ,.002649 ,.000856 ,.003911 ,.004834 ,.003003 ,.003425 ,.001567 ,.003880 ,.003665 ,.003592 ,.003086 ,.005414 ,.011752 ,.006916 ,.005997 ,.004829 ,.003673 ,.003772 ,.004694 ,.005095 ,.006414 ,.005988 ,.004712 ,.008371 ,1.133785 ,.013281 ,.030746 ,.008297 ,.019991 ,.004589 ,.014350 ,.004794 ,.008402 ,.004811 ,.028115 ,.010220 ,.003268 ,.004993 ,.002655 ,.030845 ,.022299 ,.042131 ,.002553 ,.002321 ,.023665 ,.016015 ,.004239 ,.013817 ,.029445 ,.018378 ,.005239 ,1.616667 
  27  ,電力設備,.003452 ,.004634 ,.004958 ,.010968 ,.017411 ,.005245 ,.005889 ,.001982 ,.009044 ,.007708 ,.007285 ,.006429 ,.008935 ,.006936 ,.017243 ,.013014 ,.009749 ,.005604 ,.008358 ,.011663 ,.011631 ,.014691 ,.009662 ,.011567 ,.021393 ,.036854 ,1.362879 ,.104637 ,.048135 ,.041179 ,.012072 ,.052890 ,.018784 ,.018544 ,.008241 ,.016442 ,.099059 ,.004470 ,.012590 ,.004815 ,.011202 ,.022891 ,.015538 ,.002579 ,.008528 ,.016580 ,.014578 ,.006679 ,.013418 ,.008505 ,.007250 ,.015933 ,2.220723 
  28  ,機械設備,.018282 ,.016382 ,.007530 ,.046241 ,.098655 ,.019630 ,.023090 ,.005518 ,.036319 ,.025708 ,.026488 ,.022151 ,.035554 ,.024426 ,.091721 ,.062279 ,.039405 ,.016779 ,.036510 ,.047145 ,.057043 ,.060946 ,.037763 ,.040783 ,.043602 ,.033967 ,.085368 ,1.273248 ,.059601 ,.080324 ,.045359 ,.192517 ,.078161 ,.100152 ,.025429 ,.069991 ,.076566 ,.008489 ,.042696 ,.013671 ,.014692 ,.008622 ,.008327 ,.005187 ,.007009 ,.015752 ,.023751 ,.009070 ,.010074 ,.017709 ,.014747 ,.016075 ,3.276503 
  29  ,汽車及其零件,.000552 ,.001926 ,.002528 ,.002015 ,.001839 ,.001959 ,.001699 ,.000573 ,.002237 ,.002881 ,.002214 ,.002395 ,.002230 ,.002138 ,.002543 ,.002303 ,.002224 ,.001692 ,.002137 ,.002150 ,.002835 ,.002302 ,.002580 ,.002418 ,.001927 ,.004223 ,.002356 ,.003652 ,1.573094 ,.013840 ,.002410 ,.003007 ,.001734 ,.002441 ,.001473 ,.002056 ,.002552 ,.003803 ,.010766 ,.001553 ,.001734 ,.002751 ,.001553 ,.001140 ,.000580 ,.002592 ,.012894 ,.003831 ,.001168 ,.002433 ,.001577 ,.072139 ,1.785645 
  30  ,其他運輸工具,.000306 ,.000897 ,.000362 ,.022460 ,.001367 ,.001156 ,.000961 ,.000236 ,.001266 ,.002438 ,.001569 ,.001057 ,.001396 ,.001208 ,.001331 ,.001388 ,.001249 ,.000971 ,.001204 ,.001303 ,.001509 ,.001882 ,.001631 ,.001409 ,.001419 ,.001149 ,.001318 ,.001394 ,.001831 ,1.523780 ,.001563 ,.052656 ,.002421 ,.001696 ,.003111 ,.002413 ,.001309 ,.000733 ,.008249 ,.000852 ,.000909 ,.000844 ,.000605 ,.000558 ,.000276 ,.001352 ,.001275 ,.000779 ,.000931 ,.004528 ,.002111 ,.021997 ,1.692617 
  31  ,家具,.000035 ,.000069 ,.000044 ,.000163 ,.000147 ,.000075 ,.000079 ,.000030 ,.000124 ,.000114 ,.000108 ,.000096 ,.000109 ,.000100 ,.000185 ,.000161 ,.000123 ,.000081 ,.000107 ,.000130 ,.000119 ,.000147 ,.000131 ,.000129 ,.000094 ,.000085 ,.000134 ,.000189 ,.000903 ,.002761 ,1.080906 ,.000918 ,.000145 ,.000174 ,.000150 ,.000147 ,.002410 ,.000078 ,.000223 ,.000078 ,.000108 ,.000165 ,.000056 ,.000054 ,.000176 ,.000163 ,.000077 ,.000242 ,.001562 ,.000092 ,.000100 ,.002989 ,1.097785 
  32  ,其他製品及機械修配,.004218 ,.007980 ,.002932 ,.054104 ,.019642 ,.009743 ,.011920 ,.002811 ,.016822 ,.027661 ,.014955 ,.011925 ,.019992 ,.016598 ,.019099 ,.020485 ,.017264 ,.012940 ,.016543 ,.018142 ,.021649 ,.029143 ,.023713 ,.018032 ,.022477 ,.016187 ,.016862 ,.018788 ,.015217 ,.024995 ,.018450 ,1.086544 ,.042675 ,.025067 ,.057835 ,.040754 ,.015711 ,.006337 ,.070423 ,.009160 ,.011782 ,.004939 ,.007240 ,.005659 ,.002848 ,.011145 ,.016054 ,.009245 ,.012217 ,.025781 ,.036352 ,.009010 ,2.058065 
  33  ,電力供應,.022263 ,.043699 ,.011088 ,.063299 ,.071544 ,.050662 ,.051384 ,.015207 ,.114768 ,.078354 ,.068946 ,.062478 ,.111365 ,.077417 ,.096343 ,.136783 ,.108229 ,.052546 ,.086176 ,.112923 ,.112532 ,.107685 ,.085475 ,.075578 ,.080213 ,.065278 ,.064911 ,.067067 ,.059787 ,.057649 ,.069211 ,.062612 ,1.173933 ,.090283 ,.086629 ,.046865 ,.058969 ,.030016 ,.048755 ,.040631 ,.034439 ,.025796 ,.020358 ,.010331 ,.011468 ,.030194 ,.021636 ,.017384 ,.029726 ,.036658 ,.038246 ,.034068 ,4.229860 
  34  ,燃氣供應,.000642 ,.001888 ,.002521 ,.001404 ,.001582 ,.002579 ,.002155 ,.000498 ,.005062 ,.003414 ,.002505 ,.002576 ,.002970 ,.005900 ,.001596 ,.004053 ,.003251 ,.004509 ,.003182 ,.003474 ,.011083 ,.003948 ,.003953 ,.003879 ,.004926 ,.003410 ,.003363 ,.003105 ,.003457 ,.002902 ,.003454 ,.003052 ,.003672 ,1.156720 ,.001213 ,.004432 ,.003453 ,.002004 ,.001714 ,.025057 ,.002424 ,.001357 ,.001530 ,.000941 ,.001389 ,.002737 ,.002047 ,.001106 ,.001422 ,.002767 ,.002530 ,.003138 ,1.327945 
  35  ,用水供應,.000850 ,.003889 ,.000327 ,.002110 ,.002210 ,.004657 ,.003020 ,.000980 ,.005508 ,.003538 ,.004140 ,.003972 ,.002841 ,.002823 ,.002806 ,.006290 ,.004950 ,.003439 ,.003244 ,.005606 ,.004475 ,.004641 ,.004011 ,.003739 ,.003007 ,.002526 ,.002839 ,.002820 ,.003322 ,.003323 ,.003164 ,.003287 ,.002457 ,.002619 ,1.334178 ,.001534 ,.003250 ,.001591 ,.001674 ,.003837 ,.001559 ,.000943 ,.001201 ,.000609 ,.000582 ,.001898 ,.001109 ,.001081 ,.001146 ,.001520 ,.002061 ,.002441 ,1.475649 
  36  ,污染整治,.002468 ,.006921 ,.002106 ,.005061 ,.007021 ,.007246 ,.013749 ,.016573 ,.006505 ,.004970 ,.012401 ,.005225 ,.091447 ,.025848 ,.007014 ,.009495 ,.009643 ,.006450 ,.008579 ,.008182 ,.015683 ,.096771 ,.108490 ,.043373 ,.009920 ,.009705 ,.038755 ,.037797 ,.022748 ,.024678 ,.028392 ,.020684 ,.006268 ,.007620 ,.003838 ,1.232526 ,.024016 ,.002583 ,.005074 ,.004543 ,.011720 ,.002828 ,.002931 ,.001732 ,.002305 ,.005377 ,.005139 ,.038804 ,.014745 ,.008566 ,.003256 ,.005099 ,2.102871 
  37  ,營造工程,.006706 ,.011646 ,.005801 ,.016632 ,.027353 ,.010971 ,.010830 ,.005181 ,.019000 ,.015200 ,.017117 ,.015473 ,.018493 ,.016382 ,.027176 ,.025135 ,.019777 ,.012830 ,.015744 ,.020649 ,.021677 ,.026243 ,.022327 ,.018814 ,.014432 ,.012735 ,.015980 ,.018189 ,.012806 ,.016035 ,.018818 ,.020468 ,.022357 ,.029134 ,.024259 ,.025842 ,1.015719 ,.015033 ,.024741 ,.012132 ,.025343 ,.034509 ,.009741 ,.006050 ,.067307 ,.011590 ,.010706 ,.011209 ,.010358 ,.012258 ,.014852 ,.009504 ,1.929264 
  38  ,批發及零售,.060591 ,.325789 ,.019267 ,.187887 ,.103965 ,.238341 ,.177962 ,.032081 ,.185750 ,.251905 ,.224144 ,.258790 ,.274800 ,.258375 ,.105284 ,.138753 ,.199586 ,.192766 ,.143477 ,.169812 ,.163397 ,.202208 ,.308499 ,.222397 ,.149304 ,.180137 ,.264464 ,.266831 ,.277276 ,.259322 ,.263557 ,.211584 ,.094560 ,.126315 ,.052726 ,.112384 ,.211518 ,1.054968 ,.101804 ,.152223 ,.184979 ,.108676 ,.088658 ,.019978 ,.024642 ,.098900 ,.084199 ,.046441 ,.038561 ,.161981 ,.073571 ,.094627 ,9.250013 
