排    行    榜 -- 最近期,,,,,,,,,,
,,,,,,,,,,
,市場別,證期會,TEJ 產業別,交易所,會計,統一編號,國際證券,集團名,公司中文簡稱,公司英文簡稱
,,代碼,,產業別,月份,,編號,,,
,,,,,,,,,,
2113       中光橡,UNPUB,,21,11,12,ID 24017311,TW0002113008,2113  中光橡,中光橡,Chung Kwang Rubber
2114       鑫永銓,TSE,,21,11,12,ID 51704734,TW0002114006,2114  鑫永銓,鑫永銓,HYC
2115       F-六暉,TSE,,21,11,12,ID 38773146,KYG5700L1086,2115  六暉,F-六暉,F-LU HAI
2201       裕隆,TSE,,22,12,12,ID 03489200,TW0002201001,2201  裕隆集團,裕隆,Yulon Motor
2202       三富,UNPUB,,22,12,12,ID 51054507,TW0002202009,2202  三富汽車集團,三富,Sanfu Motor
2204       中華,TSE,,22,12,12,ID 03098415,TW0002204005,2201  裕隆集團,中華,China Motor
2206       三陽,TSE,,22,12,12,ID 24004006,TW0002206000,29989 豐群集團,三陽,SYM
2207       和泰車,TSE,,22,12,12,ID 03251108,TW0002207008,2207  和泰集團,和泰車,Hotai Motor
2208       台船,TSE,,26,15,12,ID 04695235,TW0002208006,Z142  經濟部,台船,CSBC
2212       友聯車材,PUB,,22,12,12,ID 11104755,TW0002212008,2201  裕隆集團,友聯車材,Uni Auto Parts
2215       匯豐汽車,PUB,,22,12,12,ID 83446817,TW0002215001,2201  裕隆集團,匯豐汽車,FMC
2218       高都汽車,PUB,,22,12,12,ID 85961513,TW0002218005,2218  高都汽車,高都汽車,Kau Du Automobile
2219       鍾慶科技,PUB,,22,12,12,ID 64998780,TW0002219003,2219  鍾慶科技,鍾慶科技,Cobra King Industry
2220       南都汽車,PUB,,22,12,12,ID 86120567,TW0002220001,2220  南都汽車,南都汽車,Nan-Du Motor
2221       大甲,OTC,,99,20,12,ID 56615319,TW0002221009,2221  大甲,大甲,Tachia Yung Ho
2222       桃苗汽車,PUB,,22,12,12,ID 22817885,TW0002222007,2222  桃苗汽車,桃苗汽車,Tau Miau Motor
2225       國都汽車,PUB,,22,12,12,ID 22663848,TW0002225000,2207  和泰集團,國都汽車,KuoTu Motors
2226       中部汽車,PUB,,22,12,12,ID 22819125,TW0002226008,2226  中部汽車,中部汽車,CM
2227       裕日車,TSE,,22,12,12,ID 80032530,TW0002227006,2201  裕隆集團,裕日車,Yulon Nissan Motor
2228       劍麟,TSE,,15,5,12,ID 04359789,TW0002228004,2228  劍麟,劍麟,IRF
2229       富海,UNPUB,,15,5,12,ID 84250467,TW0002229002,2229  富海,富海,Protech Wheel
2230       泰茂,OTC,,15,5,12,ID 86070187,TW0002230000,2230  泰茂,泰茂,C.T.I.
2231       為升,TSE,,15,5,12,ID 23219346,TW0002231008,2231  為升,為升,CUB
2232       右忠,UNPUB,,22,12,12,ID 75974638,TW0002232006,無,右忠,Yow Jung
2233       宇隆,OTC,,15,5,12,ID 22702791,TW0002233004,2233  宇隆,宇隆,TURVO
2235       謚源,OTC,,15,5,12,ID 22479934,TW0002235009,2235  謚源,謚源,I Yuan
2236       F-百達,TSE,,15,5,12,ID 42299452,KYG693691092,2236  百達精密,F-百達,Patec
2237       華德動,ROTC,,15,5,12,ID 27579308,TW0002237005,1533  車王電,華德動,RAC Electric
2239       F-英利,TSE,,22,12,12,ID 47423487,KYG1991F1081,2239  長春英利汽車,F-英利,Cayman Engley
2240       大億金,PUB,,22,12,12,ID 96981939,TW0002240009,1521  大億企業集團,大億金,TLA
2241       艾姆勒,ROTC,,15,5,12,ID 53418357,TW0002241007,無,艾姆勒,Amulaire
2301       光寶科,TSE,,23,25,12,ID 23357403,TW0002301009,2301  光寶集團,光寶科,Lite-On Technology
2302       麗正,TSE,,23,24,12,ID 04982433,TW0002302007,2302  麗正集團,麗正,Rectron
2303       聯電,TSE,,23,24,12,ID 47217677,TW0002303005,2303  聯電集團,聯電,United Microelec.
2305       全友,TSE,,23,25,12,ID 47226140,TW0002305000,2305  全友集團,全友,Microtek
2306       宏電,UNPUB,,23,13,12,ID 47230290,TW0002306008,2353  宏碁集團,宏電,Acer1
2308       台達電,TSE,,23,28,12,ID 34051920,TW0002308004,2308  台達電子集團,台達電,Delta Electronics
2309       國勝,UNPUB,,23,13,12,ID 33747269,TWU001175007,無,國勝,Ko Sheng Ent.
2310       旭麗,UNPUB,,23,13,12,ID 31088655,TW0002310000,2301  光寶集團,旭麗,Silitek
2311       日月光,TSE,,23,24,12,ID 76027628,TW0002311008,2311  日月光集團,日月光,ASE
2312       金寶,TSE,,23,31,12,ID 04370927,TW0002312006,2312  金寶電子集團,金寶,Kinpo
2313       華通,TSE,,23,28,12,ID 04401392,TW0002313004,2313  華通電腦,華通,Compeq Mfg.
2314       台揚,TSE,,23,27,12,ID 47255762,TW0002314002,2317  鴻海集團,台揚,Microelec. Tech.
2315       神達電腦,UNPUB,,23,25,12,ID 47255708,TW0002315009,1229  聯華神通集團,神達電腦,Mitac
2316       楠梓電,TSE,,23,28,12,ID 76026851,TW0002316007,2316  楠電集團,楠梓電,Wus Printed Circuit
2317       鴻海,TSE,,23,31,12,ID 04541302,TW0002317005,2317  鴻海集團,鴻海,Hon Hai Precision
2318       佳錄,UNPUB,,23,13,12,ID 22002143,TW0002318003,2318  佳錄集團,佳錄,Megamedia
2319       大眾,UNPUB,,23,13,12,ID 20840777,TW0002319001,2319  大眾集團,大眾,FIC
2321       東訊,TSE,,23,27,12,ID 47224065,TW0002321007,1504  東元電機集團,東訊,Tecom
2322       致福,UNPUB,,23,13,12,ID 31120472,TW0002322005,2301  光寶集團,致福,GVC
2323       中環,TSE,,23,26,12,ID 12205020,TW0002323003,2323  中環集團,中環,CMC Magnetics
2324       仁寶,TSE,,23,25,12,ID 21222725,TW0002324001,2312  金寶電子集團,仁寶,Compal Electronics
2325       矽品,TSE,,23,24,12,ID 55991080,TW0002325008,2325  矽品集團,矽品,Siliconware Prec.
2326       亞瑟,UNPUB,,23,13,12,ID 47299831,TW0002326006,2326  新巨群集團,亞瑟,CIS Technology
2327       國巨,TSE,,23,28,12,ID 22636630,TW0002327004,2327  國巨集團,國巨,Yageo
2328       廣宇,TSE,,23,28,12,ID 03546618,TW0002328002,2317  鴻海集團,廣宇,Pan International
2329       華泰,TSE,,23,24,12,ID 89004161,TW0002329000,2329  華泰集團,華泰,Orient Semi
2330       台積電,TSE,,23,24,12,ID 22099131,TW0002330008,2330  台積電集團,台積電,TSMC
2331       精英,TSE,,23,25,12,ID 22449566,TW0002331006,2371  大同集團,精英,Elitegroup
2332       友訊,TSE,,23,27,12,ID 22099189,TW0002332004,2332  友訊集團,友訊,D-Link
2333       碧悠,UNPUB,,23,26,12,ID 47067924,TW0002333002,2333A 壬豪,碧悠,Picvue
2334       國豐,UNPUB,233350,23,13,12,ID 03390903,TW0002334000,2334  國豐集團,國豐,Kuo Feng
2335       清三,UNPUB,,23,13,12,ID 15974557,TW0002335007,2335A 清三許榮淑,清三,CWI
2336       Ｄ致伸,UNPUB,,23,25,12,ID 12486393,TW0002336005,2336  致伸集團,Ｄ致伸,Primax
2337       旺宏,TSE,,23,24,12,ID 22099548,TW0002337003,2337  旺宏集團,旺宏,Macronix
2338       光罩,TSE,,23,24,12,ID 22099408,TW0002338001,2201  裕隆集團,光罩,Taiwan Mask
2339       合泰,UNPUB,,23,13,12,ID 22099364,TW0002339009,2303  聯電集團,合泰,UTEK
2340       光磊,TSE,,23,26,12,ID 47255947,TW0002340007,2340  光磊集團,光磊,Opto Tech
2341       英群,PUB,,23,25,12,ID 20915360,TW0002341005,2341  英群集團,英群,Behavior Tech
2342       茂矽,TSE,,23,24,12,ID 22099110,TW0002342003,2342  茂矽集團,茂矽,Mosel Vitelic
2343       精業,UNPUB,,23,13,12,ID 04272685,TW0002343001,2343  精業集團,精業,Systex (old)
2344       華邦電,TSE,,23,24,12,ID 22099218,TW0002344009,1605  華新麗華集團,華邦電,Winbond
2345       智邦,TSE,,23,27,12,ID 22099287,TW0002345006,2345  智邦集團,智邦,Accton
2347       聯強,TSE,,23,29,12,ID 23060541,TW0002347002,1229  聯華神通集團,聯強,Synnex
2348       海悅,TSE,,99,20,12,ID 22624873,TW0002348000,2348A 海悅國際,海悅,Hiyes
2349       錸德,TSE,,23,26,12,ID 23218873,TW0002349008,2349  錸德集團,錸德,Ritek
2350       環電,UNPUB,,23,31,12,ID 61781463,TW0002350006,2311  日月光集團,環電,Universal Scientific
2351       順德,TSE,,23,24,12,ID 58506816,TW0002351004,2351  順德工業,順德,SDI Corp.
2352       佳世達,TSE,,23,25,12,ID 12490306,TW0002352002,2352  明基友達集團,佳世達,Qisda Corp.
2353       宏碁,TSE,,23,25,12,ID 20828393,TW0002353000,2353  宏碁集團,宏碁,Acer Inc.
2354       鴻準,TSE,,23,31,12,ID 23707801,TW0002354008,2317  鴻海集團,鴻準,Foxconn Technology
2355       敬鵬,TSE,,23,28,12,ID 43816068,TW0002355005,2355  敬鵬工業,敬鵬,Chin-Poon
2356       英業達,TSE,,23,25,12,ID 04322046,TW0002356003,2356  英業達集團,英業達,Inventec
2357       華碩,TSE,,23,25,12,ID 23638777,TW0002357001,2357  華碩集團,華碩,Asustek
2358       廷鑫,TSE,,23,25,12,ID 22447526,TW0002358009,2358B 廷鑫金屬,廷鑫,Ting Sin
2359       所羅門,TSE,,23,31,12,ID 23640801,TW0002359007,2359  所羅門集團,所羅門,Solomon Technology
2360       致茂,TSE,,23,31,12,ID 09461025,TW0002360005,2360  致茂集團,致茂,Chroma
2361       鴻友,PUB,,23,25,12,ID 23117191,TW0002361003,2361  鴻友集團,鴻友,Mustek Systems
2362       藍天,TSE,,23,25,12,ID 09424319,TW0002362001,2362  群光藍天集團,藍天,Clevo
2363       矽統,TSE,,23,24,12,ID 22099202,TW0002363009,2303  聯電集團,矽統,Silicon Integrated
2364       倫飛,TSE,,23,25,12,ID 79883646,TW0002364007,2364  倫飛集團,倫飛,Twinhead
2365       昆盈,TSE,,23,25,12,ID 05141520,TW0002365004,2365  昆盈集團,昆盈,KYE Systems
2366       亞旭,UNPUB,,23,13,12,ID 23475561,TW0002366002,2357  華碩集團,亞旭,Askey
2367       燿華,TSE,,23,28,12,ID 05637971,TW0002367000,6012  金鼎證券集團,燿華,Unitech PCB
2368       金像電,TSE,,23,28,12,ID 30955404,TW0002368008,2368  金像電子,金像電,Gold Circuit
2369       菱生,TSE,,23,24,12,ID 55625676,TW0002369006,2369  菱生集團,菱生,Lingsen Precision
2370       匯僑工業,UNPUB,,23,13,12,ID 12505997,TW0002370004,1605  華新麗華集團,匯僑工業,Pan Overseas Elec.
2371       大同,TSE,,15,5,12,ID 11026506,TW0002371002,2371  大同集團,大同,Tatung Co.
2373       震旦行,TSE,,23,31,12,ID 03568400,TW0002373008,2373  震旦集團,震旦行,Aurora
2374       佳能,TSE,,23,26,12,ID 11394902,TW0002374006,4938  和碩集團,佳能,Ability
2375       智寶,TSE,,23,28,12,ID 34230543,TW0002375003,2327  國巨集團,智寶,Teapo
2376       技嘉,TSE,,23,25,12,ID 22044755,TW0002376001,2376  技嘉集團,技嘉,Gigabyte
2377       微星,TSE,,23,25,12,ID 22178368,TW0002377009,2377  微星集團,微星,MSI
2378       鴻運電子,UNPUB,,23,13,12,ID 04750969,TW0002378007,2378  鴻運集團,鴻運電子,Potrans
2379       瑞昱,TSE,,23,24,12,ID 22671299,TW0002379005,2379  瑞昱集團,瑞昱,Realtek
2380       虹光,TSE,,23,25,12,ID 22099759,TW0002380003,2380  虹光,虹光,Avision
2381       華宇,PUB,,23,26,12,ID 23413799,TW0002381001,2381  華宇集團,華宇,Arima
2382       廣達,TSE,,23,25,12,ID 22822281,TW0002382009,2382  廣達集團,廣達,Quanta Computer
2383       台光電,TSE,,23,28,12,ID 86521351,TW0002383007,2383  台光電集團,台光電,Elite Material
2384       勝華,PUB,,23,26,12,ID 22100398,TW0002384005,2384  勝華集團,勝華,Wintek
2385       群光,TSE,,23,28,12,ID 20954200,TW0002385002,2362  群光藍天集團,群光,Chicony
2386       國電,UNPUB,,23,13,12,ID 22099723,TW0002386000,2317  鴻海集團,國電,Ambit
2387       精元,TSE,,23,25,12,ID 86244265,TW0002387008,2387  精元電腦集團,精元,Sunrex
2388       威盛,TSE,,23,24,12,ID 86870786,TW0002388006,2388  威盛集團,威盛,VIA Technologies
2389       世昕,UNPUB,,23,13,12,ID 31150405,TW0002389004,2389  世昕企業集團,世昕,Luxon
2390       云辰,TSE,,23,31,12,ID 34412092,TW0002390002,2390  云辰集團,云辰,Everspring
2391       合勤,UNPUB,,23,27,12,ID 22099505,TW0002391000,2391  合勤集團,合勤,ZyXEL
2392       正崴,TSE,,23,28,12,ID 22223510,TW0002392008,2392  正崴集團,正崴,Foxlink
2393       億光,TSE,,23,26,12,ID 34516147,TW0002393006,2393  億光集團,億光,Everlight Elec
2394       普立爾,UNPUB,,23,13,12,ID 04834617,TW0002394004,2394  普立爾科技,普立爾,Premier Image
2395       研華,TSE,,23,25,12,ID 05155853,TW0002395001,2395  研華集團,研華,Advantech
2396       精碟,PUB,,23,26,12,ID 23826861,TW0002396009,2396  精碟,精碟,Prodisc
2397       友通,TSE,,23,25,12,ID 30950652,TW0002397007,2397  友通資訊集團,友通,DFI Inc.
2398       博達,UNPUB,,23,13,12,ID 86011033,TW0002398005,2398  博達集團,博達,Procomp
2399       映泰,TSE,,23,25,12,ID 23826200,TW0002399003,2399  映泰,映泰,Biostar Microtech
2401       凌陽,TSE,,23,24,12,ID 23821182,TW0002401007,2401  凌陽集團,凌陽,Sunplus
2402       毅嘉,TSE,,23,28,12,ID 23588039,TW0002402005,2402  毅嘉集團,毅嘉,Ichia
2403       友尚,UNPUB,,23,29,12,ID 15876227,TW0002403003,2416  世平集團,友尚,Yosun Industrial
2404       漢唐,TSE,,23,31,12,ID 20938096,TW0002404001,2404  漢唐集團,漢唐,United Integrated
2405       浩鑫,TSE,,23,25,12,ID 20980880,TW0002405008,2405  浩鑫集團,浩鑫,Shuttle
2406       國碩,TSE,,23,26,12,ID 97178376,TW0002406006,2406  國碩集團,國碩,Gigastorage
2407       欣煜,UNPUB,,23,80,12,ID 23455093,TW0002407004,2407  陞技電腦,欣煜,Sainfoin
2408       南亞科,TSE,,23,24,12,ID 89390656,TW0002408002,1301  台塑集團,南亞科,Nanya Technology
2409       友達,TSE,,23,26,12,ID 84149738,TW0002409000,2352  明基友達集團,友達,AU Optronics
2410       鼎大,UNPUB,,23,80,12,ID 60267951,TW0002410008,3062  建鼎集團,鼎大,Protop
2411       飛瑞,UNPUB,,23,31,12,ID 23026072,TW0002411006,2411A 伊頓企業,飛瑞,Phoenixtec Power
2412       中華電,TSE,,23,27,12,ID 96979933,TW0002412004,2412  中華電信集團,中華電,Chunghwa Telecom
2413       環科,TSE,,23,28,12,ID 52878846,TW0002413002,2413  環科,環科,Universal Micro
2414       精技,TSE,,23,29,12,ID 12215548,TW0002414000,2414  精技集團,精技,Unitech Computer
2415       錩新,TSE,,23,28,12,ID 44913118,TW0002415007,2415  錩新,錩新,Cx Tech
2416       世平,UNPUB,,23,13,12,ID 05091774,TW0002416005,2416  世平集團,世平,WPI
2417       圓剛,TSE,,23,25,12,ID 23611974,TW0002417003,2417  圓剛集團,圓剛,AverMedia
2418       雅新,UNPUB,,23,31,12,ID 35431779,TW0002418001,2418  雅新實業,雅新,Ya Hsin
2419       仲琦,TSE,,23,27,12,ID 22029190,TW0002419009,2419  仲琦,仲琦,Hitron Tech.
2420       新巨,TSE,,23,28,12,ID 20970807,TW0002420007,2420  新巨,新巨,Zippy
2421       建準,TSE,,23,28,12,ID 81448796,TW0002421005,2421  建準,建準,Sunonwealth
2422       國聯,UNPUB,,23,13,12,ID 84149104,TW0002422003,2393  億光集團,國聯,UEC
2423       固緯,TSE,,23,31,12,ID 04735004,TW0002423001,2423  固緯,固緯,Good Will Instrument
2424       隴華,TSE,,23,25,12,ID 04926876,TW0002424009,4416A 三圓集團,隴華,Lung Hwa Electronics
2425       承啟,TSE,,23,25,12,ID 22332192,TW0002425006,2425B 七彩虹,承啟,Chaintech
2426       鼎元,TSE,,23,26,12,ID 22434156,TW0002426004,2426  鼎元集團,鼎元,Tyntek
2427       三商電,TSE,,23,30,12,ID 31275691,TW0002427002,2905  三商行集團,三商電,Mercuries Data
2428       興勤,TSE,,23,28,12,ID 83639504,TW0002428000,2428  興勤集團,興勤,Thinking Electronic
2429       銘旺科,TSE,,23,28,12,ID 12206203,TW0002429008,6251A 嶄新電子,銘旺科,Pal Wonn
2430       燦坤,TSE,,23,29,12,ID 69568009,TW0002430006,2430  燦坤企業集團,燦坤,Tsann Kuen Ent
2431       聯昌,TSE,,23,28,12,ID 35568331,TW0002431004,1504  東元電機集團,聯昌,Lien Chang
2432       倚天,UNPUB,,23,27,12,ID 22089345,TW0002432002,2353  宏碁集團,倚天,E-TEN Information
2433       互盛電,TSE,,23,31,12,ID 12516241,TW0002433000,2373  震旦集團,互盛電,Huxen
2434       統懋,TSE,,23,24,12,ID 22404266,TW0002434008,2434  統懋,統懋,Mospec
2435       台路,UNPUB,,23,13,12,ID 04402815,TW0002435005,1408  中興紡織集團,台路,PWC
2436       偉詮電,TSE,,23,24,12,ID 22099499,TW0002436003,2436  偉詮電集團,偉詮電,Weltrend
2437       旺詮,TSE,,23,28,12,ID 22101050,TW0002437001,2327  國巨集團,旺詮,Ralec
2438       翔耀,TSE,,23,26,12,ID 12364770,TW0002438009,2438  英誌集團,翔耀,Enlight
2439       美律,TSE,,23,27,12,ID 52375605,TW0002439007,2439  美律實業,美律,Merry
2440       太空梭,TSE,,23,28,12,ID 01887370,TW0002440005,2440A 紅帥工業,太空梭,Space Shuttle
2441       超豐,TSE,,23,24,12,ID 05126366,TW0002441003,24202 金士頓集團,超豐,Greatek
2442       新美齊,TSE,,23,25,12,ID 22006274,TW0002442001,2371  大同集團,新美齊,Jean
2443       新利虹,TSE,,23,28,12,ID 97165506,TW0002443009,2443  利碟集團,新利虹,Lead Data
2444       友旺,TSE,,23,27,12,ID 89549446,TW0002444007,2444  友旺,友旺,Abocom
2445       南方,UNPUB,,23,13,12,ID 47250555,TW0002445004,6012  金鼎證券集團,南方,SIS
2446       全懋,UNPUB,,23,24,12,ID 84149879,TW0002446002,2303  聯電集團,全懋,Phoenix Precision
2447       鼎新,UNPUB,,23,30,12,ID 12375447,TW0002447000,2447  鼎新,鼎新,Data Systems
2448       晶電,TSE,,23,26,12,ID 84149786,TW0002448008,2393  億光集團,晶電,Epistar
2449       京元電,TSE,,23,24,12,ID 22507241,TW0002449006,2449  京元電子,京元電,King Yuan Elec
2450       神腦,TSE,,23,27,12,ID 12228473,TW0002450004,2412  中華電信集團,神腦,Senao
2451       創見,TSE,,23,24,12,ID 23446187,TW0002451002,2451  創見,創見,Transcend
2452       乾坤,UNPUB,,23,28,12,ID 22099836,TW0002452000,2308  台達電子集團,乾坤,Cyntec
2453       凌群,TSE,,23,30,12,ID 04967550,TW0002453008,2453  凌群電腦,凌群,Syscom
2454       聯發科,TSE,,23,24,12,ID 84149961,TW0002454006,2454  聯發科集團,聯發科,MediaTek
2455       全新,TSE,,23,27,12,ID 97170472,TW0002455003,3318  和光集團,全新,Visual Photonics
2456       奇力新,TSE,,23,28,12,ID 47006693,TW0002456001,2327  國巨集團,奇力新,Chilisin Electronics
2457       飛宏,TSE,,23,28,12,ID 30435973,TW0002457009,2457  飛宏,飛宏,Phihong
2458       義隆,TSE,,23,24,12,ID 84149224,TW0002458007,2458  義隆集團,義隆,ELAN
2459       敦吉,TSE,,23,29,12,ID 20863763,TW0002459005,2459  敦吉,敦吉,Audix
2460       建通,TSE,,23,28,12,ID 84433564,TW0002460003,2460  建通,建通,Gem Terminal
2461       光群雷,TSE,,23,31,12,ID 22099322,TW0002461001,2461  光群雷集團,光群雷,K Laser
2462       良得電,TSE,,23,28,12,ID 04877657,TW0002462009,6290  良維集團,良得電,LineTek
2463       Ｄ研揚,UNPUB,,23,25,12,ID 22340398,TW0002463007,2357  華碩集團,Ｄ研揚,Aaeon
2464       盟立,TSE,,23,31,12,ID 22099478,TW0002464005,2464  盟立,盟立,Mirle Automation
2465       麗臺,TSE,,23,25,12,ID 22325002,TW0002465002,2465  麗臺,麗臺,Leadtek
2466       冠西電,TSE,,23,26,12,ID 34348590,TW0002466000,9904  寶成工業集團,冠西電,COSMO
2467       志聖,TSE,,23,28,12,ID 07618057,TW0002467008,2467  志聖,志聖,C Sun
2468       華經,TSE,,23,30,12,ID 12115702,TW0002468006,2468  華經資訊集團,華經,Fortune Information
2469       力信,UNPUB,,23,28,12,ID 34235907,TW0002469004,2301  光寶集團,力信,Li Shin Int'l
2470       品佳,UNPUB,,23,13,12,ID 22355027,TW0002470002,2416  世平集團,品佳,Silicon
2471       資通,TSE,,23,30,12,ID 20873360,TW0002471000,2405  浩鑫集團,資通,Ares International
2472       立隆電,TSE,,23,28,12,ID 52358985,TW0002472008,2472  立隆集團,立隆電,Lelon
2473       思源,UNPUB,,23,24,12,ID 84149548,TW0002473006,Z4255 新思科技,思源,Springsoft
2474       可成,TSE,,23,31,12,ID 69905810,TW0002474004,2474  可成集團,可成,Catcher
2475       華映,TSE,,23,26,12,ID 11085292,TW0002475001,2371  大同集團,華映,Chunghwa Picture
2476       鉅祥,TSE,,23,28,12,ID 04403568,TW0002476009,2476  鉅祥集團,鉅祥,G-Shank
2477       美隆電,TSE,,23,31,12,ID 33750329,TW0002477007,2477  美隆電,美隆電,Meiloon
2478       大毅,TSE,,23,28,12,ID 23534301,TW0002478005,2478  大毅,大毅,Ta-I Tech
2479       和立,UNPUB,,23,80,12,ID 84149239,TW0002479003,2479A 博輝光電,和立,Helix
2480       敦陽科,TSE,,23,30,12,ID 84218848,TW0002480001,2480  敦陽科,敦陽科,Stark
2481       強茂,TSE,,23,24,12,ID 22145016,TW0002481009,2481  強茂集團,強茂,Pan Jit
2482       連宇,TSE,,23,31,12,ID 38430938,TW0002482007,2482  連宇,連宇,Uniform Industrial
2483       百容,TSE,,23,28,12,ID 52753108,TW0002483005,2483  百容集團,百容,Excel Cell Elec
2484       希華,TSE,,23,28,12,ID 22771229,TW0002484003,2484  希華集團,希華,Siward Crystal
2485       兆赫,TSE,,23,27,12,ID 12320400,TW0002485000,2485  兆赫,兆赫,Zinwell
2486       一詮,TSE,,23,26,12,ID 35866232,TW0002486008,2486  一詮,一詮,I-Chiun
2487       友立資,UNPUB,,23,13,12,ID 23436104,TW0002487006,2487  英特維集團,友立資,Ulead Systems
2488       漢平,TSE,,23,31,12,ID 68889236,TW0002488004,2488  漢平,漢平,Hanpin
2489       瑞軒,TSE,,23,26,12,ID 84929896,TW0002489002,2489  瑞軒科技,瑞軒,Amtran
2490       皇統,UNPUB,,23,13,12,ID 23171758,TW0002490000,2490  皇統集團,皇統,Summit
2491       吉祥全,TSE,,23,26,12,ID 89380545,TW0002491008,2491A 羅福助集團,吉祥全,Infodisc
2492       華新科,TSE,,23,28,12,ID 19004316,TW0002492006,1605  華新麗華集團,華新科,Walsin Technology
2493       揚博,TSE,,23,28,12,ID 30929883,TW0002493004,2493  揚博,揚博,Ampoc Far-East
2494       廣業科,UNPUB,,23,13,12,ID 16638076,TW0002494002,2494  突破通訊,廣業科,TBC
2495       普安,TSE,,23,31,12,ID 84166074,TW0002495009,2495  普安,普安,Infortrend Tech
2496       卓越,TSE,,23,27,12,ID 22099786,TW0002496007,2496C 慧華投資,卓越,SPC
2497       怡利電,TSE,,23,31,12,ID 59334664,TW0002497005,2497  怡利電,怡利電,E-Lead
2498       宏達電,TSE,,23,27,12,ID 16003518,TW0002498003,2388  威盛集團,宏達電,HTC
2499       東貝,TSE,,23,26,12,ID 84412694,TW0002499001,2499  東貝集團,東貝,Unity Opto
2501       國建,TSE,,25,14,12,ID 03374306,TW0002501004,2882  霖園集團,國建,CATHAY RED
2504       國產,TSE,,25,14,12,ID 24060203,TW0002504008,2504  國產實業集團,國產,GBM
2505       國揚,TSE,,25,14,12,ID 11603817,TW0002505005,2505  國揚集團,國揚,Kuo Yang Const.
2506       太設,TSE,,25,14,12,ID 11099009,TW0002506003,2506  太設集團,太設,Pacific Construction
2509       全坤建,TSE,,25,14,12,ID 04921056,TW0002509007,2509  全坤集團,全坤建,Chainqui
2511       太子,TSE,,25,14,12,ID 72058206,TW0002511003,1440  台南幫集團,太子,Prince Housing
2512       寶建,UNPUB,,25,14,12,ID 81157852,TW0002512001,2512  寶建集團,寶建,Bao-Chen Const.
2514       龍邦,TSE,,99,20,12,ID 22817273,TW0002514007,2514  龍邦集團,龍邦,Long Bon
2515       中工,TSE,,25,14,12,ID 75094900,TW0002515004,1314  威京集團,中工,BES Engineering
2516       新建,TSE,,25,14,12,ID 11762504,TW0002516002,2516  新建,新建,New Asia
2517       長谷,UNPUB,,25,14,12,ID 75959340,TW0002517000,2517  長谷建設集團,長谷,Chang Ku
2518       長億,UNPUB,,25,14,12,ID 52367648,TW0002518008,2518  長億集團,長億,Ever Fortune
2520       冠德,TSE,,25,14,12,ID 30900892,TW0002520004,2520  冠德集團,冠德,Kindom Const.
2521       宏總,UNPUB,,25,14,12,ID 52806560,TW0002521002,2521  宏總建設集團,宏總,Hong Chung
2523       德寶,UNPUB,,25,14,12,ID 22081688,TW0002523008,2523  德寶集團,德寶,Der Pao Const.
2524       京城,TSE,,25,14,12,ID 06667446,TW0002524006,2524  京城集團,京城,King's Town Cons
2525       寶祥,UNPUB,,25,14,12,ID 12029805,TW0002525003,30994 富隆集團,寶祥,Pao Shiang
2526       大陸,UNPUB,,25,14,12,ID 33020007,TW0002526001,2103  台橡集團,大陸,Continental Eng
2527       宏璟,TSE,,25,14,12,ID 22344508,TW0002527009,2311  日月光集團,宏璟,Hung Ching
2528       皇普,TSE,,25,14,12,ID 81271967,TW0002528007,2505  國揚集團,皇普,Crowell Development
2529       仁翔,UNPUB,250623,25,14,12,ID 22766226,TW0002529007,2583  新瑞都集團,仁翔,Jen Hsiang Const.
2530       華建,TSE,,25,14,12,ID 11059409,TW0002530003,2530  華建集團,華建,Delpha Const.
2533       昱成,UNPUB,,25,14,12,ID 06784649,TW0002533007,2533  昱成集團,昱成,Yuh Chen
2534       宏盛,TSE,,25,14,12,ID 22221180,TW0002534005,2849  宏泰集團,宏盛,Hung Sheng Const.
2535       達欣工,TSE,,25,14,12,ID 18997007,TW0002535002,2535  達欣企業集團,達欣工,Da-Cin Const.
2536       宏普,TSE,,25,14,12,ID 23113054,TW0002536000,2536  三普集團,宏普,Hung Poo
2537       聯上發,TSE,,25,14,12,ID 22659295,TW0002537008,4113  聯上集團,聯上發,WE & WIN
2538       基泰,TSE,,25,14,12,ID 12251662,TW0002538006,2538  基泰集團,基泰,KeeTai
2539       櫻花建,TSE,,25,14,12,ID 22491640,TW0002539004,2539A 寶佳建設,櫻花建,Sakura Development
2540       愛山林,TSE,,25,14,12,ID 22190686,TW0002540002,2540B 甲山林,愛山林,I- Sunny
2542       興富發,TSE,,25,14,12,ID 12305479,TW0002542008,2542  興富發集團,興富發,Highwealth
2543       皇昌,TSE,,25,14,12,ID 34342717,TW0002543006,2543  皇昌,皇昌,Hwang Chang
2544       益鼎光電,UNPUB,,23,13,12,ID 23069276,TW0002544004,3062  建鼎集團,益鼎光電,Info Inc.
2545       皇翔,TSE,,25,14,12,ID 86379024,TW0002545001,2545  皇翔建設,皇翔,Huang Hsiang
2546       根基,TSE,,25,14,12,ID 43876760,TW0002546009,2520  冠德集團,根基,Kedge
2547       日勝生,TSE,,25,14,12,ID 12373243,TW0002547007,2547  日勝生集團,日勝生,Radium Life
2548       華固,TSE,,25,14,12,ID 23358846,TW0002548005,2548  華固,華固,Huaku
