排    行    榜 -- 最近期,,,,,,,,,,
,,,,,,,,,,
,市場別,證期會,TEJ 產業別,交易所,會計,統一編號,國際證券,集團名,公司中文簡稱,公司英文簡稱
,,代碼,,產業別,月份,,編號,,,
,,,,,,,,,,
000838     安泰證券,PUB,,30,17,12,ID 23827117,,無,安泰證券,Antay Securities
000844     摩根大通,UNPUB,,30,17,12,ID 23928473,,30844 怡富證券集團,摩根大通,JPMSTL
000849     萬泰證券,UNPUB,,30,17,12,ID 23984066,,無,萬泰證券,Wan Tai Sec.
000852     中農證券,UNPUB,,30,17,12,ID 23988106,,無,中農證券,Chung Nourn Sec.
000856     新光證券,PUB,,30,17,12,ID 84703412,,1409  新光集團,新光證券,SKIS
000866     萬通證券,UNPUB,,30,17,12,ID 16098985,,無,萬通證券,Van Tone Securities
000870     花旗證券,UNPUB,,30,17,12,ID 16440145,,無,花旗證券,CSTL
000871     陽信證券,UNPUB,,30,17,12,ID 16436873,,2895  陽信集團,陽信證券,Sunny Securities
000877     大鼎證券,PUB,,30,17,12,ID 16634748,,無,大鼎證券,Da-Din Securities
000884     玉山證券,UNPUB,,30,17,12,ID 70781513,,2884  玉山銀集團,玉山證券,E. Sun Sec.
000885     鑫豐證券,PUB,,30,17,12,ID 70779973,,30885 鑫豐集團,鑫豐證券,Shing-Fong
000888     國泰證券,PUB,,30,17,12,ID 27236155,,2882  霖園集團,國泰證券,Cathay Sec.
000889     大和國泰,UNPUB,,30,17,3,ID 16835180,,30135 大和國泰證券,大和國泰,Daiwa
000890     法銀巴黎證券,UNPUB,,30,17,12,ID 27531425,,無,法銀巴黎證券,BNPP Sec. TW
000891     巴克萊證券,UNPUB,,30,17,12,ID 53007235,,無,巴克萊證券,BCSTW
000896     香港上海匯豐,PUB,,30,17,12,ID 27939773,,無,香港上海匯豐,HSBC Securities
000930     華南永昌證券,PUB,,30,17,12,ID 22955774,TW0006009004,2880  華南金控集團,華南永昌證券,Hua Nan Sec.
000960     富邦證券,PUB,,30,17,12,ID 22957301,TW0006007008,2881  富邦集團,富邦證券,Fubon Securities
000980     元大證券,PUB,,30,17,12,ID 97160609,,6004  元大集團,元大證券,Yuanta
0009A0     永豐金證券,PUB,,30,17,12,ID 23113343,TW0006001001,1907  永豐餘集團,永豐金證券,SinoPac Securities
002011     愛德盟期貨,UNPUB,,30,17,12,ID 84708177,,無,愛德盟期貨,Aitehmeng Furutes
002081     華大期貨,UNPUB,,30,17,12,ID 84708394,,無,華大期貨,Uobbulin & Futures
010002     環華證金,PUB,,30,17,12,ID 89393957,,2883  開發金控集團,環華證金,Global Sec. Finance
021011     國泰期貨,UNPUB,,30,17,12,ID 84705349,,2882  霖園集團,國泰期貨,Cathay Futures
021021     永豐期貨,UNPUB,,30,17,12,ID 84309615,,1907  永豐餘集團,永豐期貨,Sinopac Futures
021041     凱基期貨,UNPUB,,30,17,12,ID 84704496,,2883  開發金控集團,凱基期貨,KGI Futures
021051     國票期貨,UNPUB,,30,17,12,ID 84703264,,9151  旺旺集團,國票期貨,IBUF
021071     日盛期貨,UNPUB,,30,17,12,ID 84706950,,5820B 建高控股集團,日盛期貨,Jih Sun Futures
021141     華南期貨,UNPUB,,30,17,12,ID 84892292,,2880  華南金控集團,華南期貨,Hua Nan Futures
021211     台証期貨,UNPUB,,30,17,12,ID 16091250,,1409  新光集團,台証期貨,Taiwan Futures
